Custom_id_prolific,StartDate,EndDate,Q2,IPAddress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,,Q3,Q3_5_TEXT,Q4,Q4
32,4/23/24 9:37:21.000,4/23/24 9:38:23.000,30-34,189.183.80.143,61,True,4/23/24 9:38,R_2gjpuZAk35QuiZJ,,,,,20.52,-97.4511,anonymous,EN,,Other,Hispanic,,120
33,4/23/24 9:37:31.000,4/23/24 9:37:51.000,18-24,86.25.131.18,20,True,4/23/24 9:37,R_2bZ7YV7GN86hTUD,,,,,51.2375,-0.1581,anonymous,EN,,White,,,57
34,4/23/24 9:37:31.000,4/23/24 9:37:58.000,35-39,187.189.127.122,27,True,4/23/24 9:37,R_3uw5Gvj0JckHO4p,,,,,19.4155,-99.0465,anonymous,EN,,Other,Latin,,108
35,4/23/24 9:37:33.000,4/23/24 9:38:37.000,18-24,193.137.188.90,64,True,4/23/24 9:38,R_2kZyqcN8by870rL,,,,,41.2577,-8.7266,anonymous,EN,,White,,,140
36,4/23/24 9:37:39.000,4/23/24 9:38:16.000,25-29,186.96.19.149,36,True,4/23/24 9:38,R_1ylQMJzSj4ltuBh,,,,,20.7015,-105.2952,anonymous,EN,,Other,Latino,,145
37,4/23/24 9:37:39.000,4/23/24 9:39:00.000,25-29,188.210.210.163,81,True,4/23/24 9:39,R_2G7nIoCmz9Atvt7,,,,,53.4836,-2.2862,anonymous,EN,,White,,118,
38,4/23/24 9:37:45.000,4/23/24 9:38:07.000,18-24,89.64.105.34,21,True,4/23/24 9:38,R_2Fz1iXYNpQuaYUN,,,,,50.3641,18.7937,anonymous,EN,,White,,,60
39,4/23/24 9:37:47.000,4/23/24 9:39:07.000,55-64,181.160.205.51,80,True,4/23/24 9:39,R_10pihmf4GvF8iSt,,,,,-38.7315,-72.5992,anonymous,EN,,Other,latino,,150
40,4/23/24 9:37:51.000,4/23/24 9:38:26.000,45-49,24.168.211.153,34,True,4/23/24 9:38,R_3L2HDodi0dvgzWp,,,,,34.0737,-81.1863,anonymous,EN,,Black or African American,,,77
41,4/23/24 9:37:52.000,4/23/24 9:38:52.000,18-24,84.127.86.57,60,True,4/23/24 9:38,R_2IXnNP2UpYXInS1,,,,,39.4923,-0.4046,anonymous,EN,,White,,120,
42,4/23/24 9:37:56.000,4/23/24 9:38:19.000,30-34,82.134.174.21,23,True,4/23/24 9:38,R_2wttQsagAEhigIp,,,,,55.3945,10.3903,anonymous,EN,,White,,,110
43,4/23/24 9:37:58.000,4/23/24 9:38:36.000,18-24,187.138.90.217,37,True,4/23/24 9:38,R_2UgbFaQikZWq5rD,,,,,25.5851,-100.2854,anonymous,EN,,Other,Latino,,88
44,4/23/24 9:38:04.000,4/23/24 9:38:30.000,18-24,185.75.238.18,26,True,4/23/24 9:38,R_7lzutayKGRzQzVa,,,,,56.9496,24.0978,anonymous,EN,,White,,,76
45,4/23/24 9:38:05.000,4/23/24 9:38:56.000,25-29,87.216.64.53,50,True,4/23/24 9:38,R_14HRqGZFQ57FbMF,,,,,40.3192,-3.8661,anonymous,EN,,White,,134,
46,4/23/24 9:38:09.000,4/23/24 9:38:43.000,35-39,94.61.238.14,34,True,4/23/24 9:38,R_3VoahxLsWHUGMqB,,,,,41.5515,-8.4204,anonymous,EN,,White,,80,
47,4/23/24 9:38:15.000,4/23/24 9:39:08.000,25-29,187.188.8.9,52,True,4/23/24 9:39,R_3fcyAOIAbBVrKAV,,,,,19.3783,-99.1621,anonymous,EN,,Other,latino,,100
48,4/23/24 9:38:16.000,4/23/24 9:38:46.000,30-34,89.144.194.215,29,True,4/23/24 9:38,R_2CfqQKAfvPCbQC9,,,,,48.2048,16.3801,anonymous,EN,,White,,,100
49,4/23/24 9:38:16.000,4/23/24 9:39:07.000,40-44,41.145.193.171,50,True,4/23/24 9:39,R_2XlwkJLaaxYR0NH,,,,,-26.2309,28.0583,anonymous,EN,,Black or African American,,58,
50,4/23/24 9:38:18.000,4/23/24 9:39:02.000,18-24,2.80.15.152,43,True,4/23/24 9:39,R_2v8ZA0rhX1OkCCl,,,,,40.5569,-8.6766,anonymous,EN,,White,,,130
51,4/23/24 9:38:19.000,4/23/24 9:39:22.000,25-29,85.240.129.139,63,True,4/23/24 9:39,R_21dLRxBPrlNaxRq,,,,,38.731,-9.1373,anonymous,EN,,White,,,110
53,4/23/24 9:38:21.000,4/23/24 9:38:57.000,30-34,157.167.56.180,36,True,4/23/24 9:38,R_2VjXuC38wogLeWp,,,,,38.731,-9.1373,anonymous,EN,,White,,,140
52,4/23/24 9:38:21.000,4/23/24 9:39:11.000,40-44,178.164.184.186,50,True,4/23/24 9:39,R_2JJyo97DH32y9YU,,,,,47.5636,19.0947,anonymous,EN,,White,,66,
53,4/23/24 9:38:22.000,4/23/24 9:39:11.000,55-64,45.222.12.203,48,True,4/23/24 9:39,R_2L2NxGdqTMGh0I1,,,,,-26.2309,28.0583,anonymous,EN,,White,,,138
54,4/23/24 9:38:23.000,4/23/24 9:39:33.000,30-34,78.137.223.223,69,True,4/23/24 9:39,R_571lsYHlE11ad4S,,,,,41.1691,-8.6793,anonymous,EN,,White,,130,
55,4/23/24 9:38:31.000,4/23/24 9:39:03.000,25-29,213.22.100.6,31,True,4/23/24 9:39,R_6QygboAcH03LG4E,,,,,41.4043,-8.5139,anonymous,EN,,White,,144,
56,4/23/24 9:38:32.000,4/23/24 9:38:59.000,18-24,89.64.41.199,27,True,4/23/24 9:39,R_7pVlc4j01aubD7D,,,,,50.0585,19.9342,anonymous,EN,,White,,,140
57,4/23/24 9:38:40.000,4/23/24 9:39:33.000,30-34,200.94.114.5,53,True,4/23/24 9:39,R_5SlC5PBrlprkKeF,,,,,22.1001,-100.8768,anonymous,EN,,White,,130,
59,4/23/24 9:38:44.000,4/23/24 9:39:01.000,18-24,185.75.238.18,17,True,4/23/24 9:39,R_7ENqk6SdNQemI6U,,,,,56.9496,24.0978,anonymous,EN,,White,,,102
58,4/23/24 9:38:47.000,4/23/24 9:39:12.000,25-29,148.69.58.229,25,True,4/23/24 9:39,R_7pYo1yZYza7OhQZ,,,,,38.731,-9.1373,anonymous,EN,,White,,,98
60,4/23/24 9:38:53.000,4/23/24 9:39:30.000,35-39,80.43.87.18,36,True,4/23/24 9:39,R_6Gvm6PWTyVpKTgN,,,,,55.9025,-4.1085,anonymous,EN,,White,,140,
61,4/23/24 9:38:56.000,4/23/24 9:39:40.000,30-34,85.220.25.29,43,True,4/23/24 9:39,R_7PTh8gsiE494ObM,,,,,64.1336,-21.8934,anonymous,EN,,White,,,100
62,4/23/24 9:38:57.000,4/23/24 9:39:33.000,18-24,94.67.93.216,36,True,4/23/24 9:39,R_2EFTcYBLz3hHvjm,,,,,40.6439,22.9358,anonymous,EN,,White,,,90
63,4/23/24 9:38:58.000,4/23/24 9:39:47.000,18-24,90.139.19.116,49,True,4/23/24 9:39,R_2Ms8YszPJe6wuu2,,,,,56.9496,24.0978,anonymous,EN,,White,,130,
64,4/23/24 9:39:00.000,4/23/24 9:39:24.000,25-29,94.241.92.110,24,True,4/23/24 9:39,R_5eaALR8pEfwkCxS,,,,,49.5864,17.2537,anonymous,EN,,White,,,50
66,4/23/24 9:39:02.000,4/23/24 9:40:13.000,18-24,161.230.169.96,71,True,4/23/24 9:40,R_61vOdZIuzl7PLq6,,,,,39.1206,-9.3841,anonymous,EN,,White,,,210
67,4/23/24 9:39:03.000,4/23/24 9:39:29.000,18-24,81.197.147.45,26,True,4/23/24 9:39,R_6nPbqywpXyTfkqf,,,,,60.1797,24.9344,anonymous,EN,,White,,,80
65,4/23/24 9:39:04.000,4/23/24 9:40:15.000,40-44,80.214.21.111,70,True,4/23/24 9:40,R_2CwR7u1eG0BE3vO,,,,,48.8323,2.4075,anonymous,EN,,White,,90,
68,4/23/24 9:39:06.000,4/23/24 9:40:02.000,25-29,38.65.137.16,55,True,4/23/24 9:40,R_3w0FI9yJI2SFbiS,,,,,20.7833,-100.4861,anonymous,EN,,Other,Hispanic latino,,127
70,4/23/24 9:39:06.000,4/23/24 9:40:07.000,25-29,87.119.186.182,61,True,4/23/24 9:40,R_58ZjzwHRLVWrEy8,,,,,59.4381,24.7369,anonymous,EN,,White,,111,
69,4/23/24 9:39:08.000,4/23/24 9:39:29.000,18-24,85.221.134.247,20,True,4/23/24 9:39,R_5Bg3tzO7cXSnJh0,,,,,52.3988,16.9021,anonymous,EN,,White,,60,
,4/23/24 9:39:08.000,4/23/24 9:40:14.000,25-29,187.208.182.1,66,True,4/23/24 9:40,R_3iIsdFH0s6snJ89,,,,,19.6537,-99.2193,anonymous,EN,,Other,Latin american,125,
71,4/23/24 9:39:09.000,4/23/24 9:39:32.000,18-24,109.54.37.207,22,True,4/23/24 9:39,R_5kMyn4g0EbQnsSw,,,,,45.4087,11.9001,anonymous,EN,,White,,,55
72,4/23/24 9:39:10.000,4/23/24 9:39:20.000,18-24,185.75.238.18,10,True,4/23/24 9:39,R_77IsMHW7kdNpsVr,,,,,56.9496,24.0978,anonymous,EN,,White,,,102
,4/23/24 9:39:13.000,4/23/24 9:39:35.000,18-24,144.64.124.218,22,True,4/23/24 9:39,R_4dReHEcA508akXS,,,,,41.5515,-8.4204,anonymous,EN,,White,,,65
73,4/23/24 9:39:14.000,4/23/24 9:40:10.000,30-34,200.52.64.2,56,True,4/23/24 9:40,R_3qfKbSA0dQy7vKp,,,,,19.4339,-99.1965,anonymous,EN,,Other,Mexican,120,
74,4/23/24 9:39:19.000,4/23/24 9:42:48.000,35-39,60.234.239.215,208,True,4/23/24 9:42,R_4hMbwSfbHfDaGti,,,,,-36.8506,174.7679,anonymous,EN,,White,,,110
75,4/23/24 9:39:25.000,4/23/24 9:39:41.000,18-24,5.63.211.84,15,True,4/23/24 9:39,R_3Uiwy0FBngE4oh9,,,,,47.6353,20.9278,anonymous,EN,,White,,,50
76,4/23/24 9:39:25.000,4/23/24 9:42:13.000,25-29,148.63.73.78,168,True,4/23/24 9:42,R_5wcBaOq2gKvyiTP,,,,,38.7584,-9.2495,anonymous,EN,,White,,158,
77,4/23/24 9:39:27.000,4/23/24 9:39:45.000,25-29,178.237.235.25,18,True,4/23/24 9:39,R_2ZweTbtwNSyRUrv,,,,,39.4923,-0.4046,anonymous,EN,,White,,,62
78,4/23/24 9:39:31.000,4/23/24 9:40:03.000,25-29,102.132.219.30,31,True,4/23/24 9:40,R_8plmXFjT3PVGOSy,,,,,-33.91,18.4304,anonymous,EN,,Black or African American,,,120
79,4/23/24 9:39:31.000,4/23/24 9:40:04.000,40-44,216.113.105.18,33,True,4/23/24 9:40,R_5PuyAvd0VyKHXAA,,,,,45.596,-73.5962,anonymous,EN,,Asian,,,144
80,4/23/24 9:39:31.000,4/23/24 9:40:42.000,18-24,89.152.20.180,70,True,4/23/24 9:40,R_4f3lNLRc6D8IJYq,,,,,41.5515,-8.4204,anonymous,EN,,White,,,50
82,4/23/24 9:39:31.000,4/23/24 9:40:43.000,18-24,189.203.206.218,71,True,4/23/24 9:40,R_1ycyfNQkLufY5m9,,,,,20.6381,-103.348,anonymous,EN,,Other,Latino,,125
81,4/23/24 9:39:36.000,4/23/24 9:40:56.000,18-24,77.54.114.32,80,True,4/23/24 9:40,R_5KJkT3bleDRRtQW,,,,,38.6839,-9.3102,anonymous,EN,,White,,92,
83,4/23/24 9:39:37.000,4/23/24 9:40:14.000,25-29,109.38.155.245,36,True,4/23/24 9:40,R_2i1u1S3CoBZeA0N,,,,,52.3591,4.793,anonymous,EN,,White,,,120
84,4/23/24 9:39:37.000,4/23/24 9:42:08.000,40-44,187.218.73.17,151,True,4/23/24 9:42,R_12xdkZQeclVHO2O,,,,,23.2834,-106.0654,anonymous,EN,,Other,latino,,120 
85,4/23/24 9:39:39.000,4/23/24 9:40:07.000,25-29,185.119.151.141,27,True,4/23/24 9:40,R_2f8kcPrke8mXyNk,,,,,52.2452,21.1214,anonymous,EN,,White,,,110
86,4/23/24 9:39:39.000,4/23/24 9:40:35.000,18-24,89.248.248.50,56,True,4/23/24 9:40,R_5fpgfCuHan3MbHI,,,,,50.2483,15.8543,anonymous,EN,,White,,,80
87,4/23/24 9:39:41.000,4/23/24 9:40:04.000,30-34,70.50.111.54,23,True,4/23/24 9:40,R_5K9DTFy879qDEFd,,,,,43.6653,-79.4343,anonymous,EN,,Black or African American,,,170
88,4/23/24 9:39:42.000,4/23/24 9:39:57.000,25-29,94.241.92.110,15,True,4/23/24 9:39,R_2ajczP4v0JsjzZD,,,,,49.5864,17.2537,anonymous,EN,,White,,,50
100,4/23/24 9:39:42.000,4/23/24 9:40:49.000,25-29,89.114.82.147,66,True,4/23/24 9:40,R_8lstKBKQhfRNqgh,,,,,41.177,-8.5612,anonymous,EN,,White,,,100
91,4/23/24 9:39:50.000,4/23/24 9:42:43.000,25-29,41.216.203.216,173,True,4/23/24 9:42,R_2pMVWCAgV3ykM5Q,,,,,-34.0486,18.4811,anonymous,EN,,Black or African American,,110,
90,4/23/24 9:39:52.000,4/23/24 9:40:14.000,25-29,174.92.45.227,21,True,4/23/24 9:40,R_3PYsS8LdTJpiAv9,,,,,42.2494,-82.9934,anonymous,EN,,Asian,,85,
89,4/23/24 9:39:52.000,4/23/24 9:40:28.000,18-24,83.227.19.91,35,True,4/23/24 9:40,R_2tsN35p8ju65Wu5,,,,,59.2517,18.1861,anonymous,EN,,White,,,89
92,4/23/24 9:39:52.000,4/23/24 9:41:00.000,18-24,41.150.222.5,67,True,4/23/24 9:41,R_2LNTWpzNXdbavVT,,,,,-25.7599,28.2604,anonymous,EN,,Black or African American,,,150
99,4/23/24 9:39:53.000,4/23/24 9:40:31.000,30-34,148.69.165.162,38,True,4/23/24 9:40,R_8HYU0XTLIHEcg5u,,,,,38.731,-9.1373,anonymous,EN,,White,,,128
93,4/23/24 9:39:53.000,4/23/24 9:40:49.000,25-29,138.118.8.28,55,True,4/23/24 9:40,R_5E6RY4akrF3buSH,,,,,19.4361,-99.1541,anonymous,EN,,Other,Latino,,73
94,4/23/24 9:39:55.000,4/23/24 9:40:28.000,30-34,109.154.166.70,32,True,4/23/24 9:40,R_2Wc2ZCIYBE7pygN,,,,,52.1364,-4.5406,anonymous,EN,,White,,82,
95,4/23/24 9:39:56.000,4/23/24 9:40:33.000,18-24,46.189.235.87,37,True,4/23/24 9:40,R_8lKoVdfSI8ur4QA,,,,,38.731,-9.1373,anonymous,EN,,White,,,80
96,4/23/24 9:40:01.000,4/23/24 9:40:44.000,25-29,102.182.150.67,43,True,4/23/24 9:40,R_2I5e5xrlJik7ujG,,,,,-26.2309,28.0583,anonymous,EN,,Black or African American,,120,
,4/23/24 9:40:55.000,4/23/24 9:41:20.000,18-24,89.152.20.180,25,True,4/23/24 9:41,R_2onWpPUHaGNmS0L,,,,,41.5515,-8.4204,anonymous,EN,,White,,100,
97,4/23/24 10:00:27.000,4/23/24 10:01:09.000,40-44,77.54.98.140,42,True,4/23/24 10:01,R_7pYxjHEHNGKUv42,,,,,38.731,-9.1373,anonymous,EN,,White,,,110
98,4/23/24 10:00:35.000,4/23/24 10:01:57.000,40-44,196.39.212.35,82,True,4/23/24 10:01,R_2QxzPUjbOE9WVzh,,,,,-26.2309,28.0583,anonymous,EN,,Black or African American,,100,
